#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.base.inference.CompoundDistribution">
#    <distribution id="prior" spec="beast.base.inference.CompoundDistribution">
#        <distribution id="YuleModel.t:D_mel_TE_RT_protein" spec="beast.base.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:D_mel_TE_RT_protein" lower="0.0" name="birthDiffRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            <tree id="Tree.t:D_mel_TE_RT_protein" spec="beast.base.evolution.tree.Tree">
#                <taxonset id="TaxonSet.D_mel_TE_RT_protein" spec="beast.base.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:D_mel_TE_RT_protein" name="distribution" x="@birthRate.t:D_mel_TE_RT_protein">
#            <Uniform id="Uniform.1" name="distr" upper="Infinity"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.base.inference.CompoundDistribution" useThreads="true">
#        <distribution data="@D_mel_TE_RT_protein" id="treeLikelihood.D_mel_TE_RT_protein" spec="beast.base.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:D_mel_TE_RT_protein">
#            <siteModel id="SiteModel.s:D_mel_TE_RT_protein" spec="beast.base.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:D_mel_TE_RT_protein" lower="0.0" name="mutationRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:D_mel_TE_RT_protein" lower="0.1" name="shape" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:D_mel_TE_RT_protein" lower="0.0" name="proportionInvariant" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="Blosum62.s:D_mel_TE_RT_protein" spec="beast.base.evolution.substitutionmodel.Blosum62"/>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:D_mel_TE_RT_protein" spec="beast.base.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:D_mel_TE_RT_protein" lower="0.0" name="clock.rate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	Tree.height	Tree.treeLength	YuleModel	birthRate
43000	-5610.598211935312	-5601.1346146347505	-9.463597300561952	-5601.1346146347505	1.712644135977008	10.1250679153924	-9.463597300561952	1.3901001743288415
44000	-5602.89974610405	-5593.652093927773	-9.247652176276107	-5593.652093927773	1.5841602592495574	9.736337361160654	-9.247652176276107	1.1469307805822402
45000	-5609.589713187074	-5600.443623932577	-9.146089254497284	-5600.443623932577	1.4691863627470754	9.898014475829884	-9.146089254497284	1.4222483715463086
46000	-5610.052747198001	-5600.414100826733	-9.63864637126818	-5600.414100826733	1.5738807742798335	10.107753722401087	-9.63864637126818	1.6320522327592901
47000	-5613.275835307366	-5604.327542533671	-8.948292773695453	-5604.327542533671	1.4155278835367333	9.354429442495006	-8.948292773695453	1.9755524062680687
48000	-5603.318513240821	-5594.611964898594	-8.70654834222652	-5594.611964898594	1.4817754479769945	9.583550263085295	-8.70654834222652	1.399547233923043
49000	-5605.379171429801	-5595.350261294514	-10.0289101352875	-5595.350261294514	1.577683107334955	10.257460718323568	-10.0289101352875	1.0697707803592953
50000	-5604.888965862697	-5594.3030668145175	-10.585899048179563	-5594.3030668145175	1.624027997487598	10.312970991098641	-10.585899048179563	1.892219821757746
51000	-5605.654053249511	-5593.873429713471	-11.780623536040608	-5593.873429713471	1.6107421991485764	10.248660185871751	-11.780623536040608	2.268304113171496
52000	-5604.672872732846	-5595.035318949945	-9.637553782901513	-5595.035318949945	1.5967410583538804	10.081831601850997	-9.637553782901513	1.6582720472827166
53000	-5608.674729808501	-5600.327287382135	-8.347442426366092	-5600.327287382135	1.3985042514113393	9.28453934504206	-8.347442426366092	1.6927503998293112
54000	-5604.780092281101	-5594.870835111234	-9.909257169867734	-5594.870835111234	1.7660141927910677	10.435000899607918	-9.909257169867734	1.2650146451558357
55000	-5605.219978522002	-5595.384209813601	-9.835768708400952	-5595.384209813601	1.6997853550141857	10.39714456431026	-9.835768708400952	1.32945458726603
56000	-5605.012824247155	-5596.000223780375	-9.01260046677955	-5596.000223780375	1.549684669989547	9.803520036516797	-9.01260046677955	1.4108729451011073
57000	-5602.038169263006	-5592.5935918016385	-9.444577461367642	-5592.5935918016385	1.7174652691767567	10.111430510584492	-9.444577461367642	1.3882317027123454
58000	-5606.143196937416	-5597.4327256675515	-8.710471269864504	-5597.4327256675515	1.4714262341968656	9.553185756065057	-8.710471269864504	1.3328702735367601
59000	-5604.968147914323	-5594.99442862962	-9.973719284702064	-5594.99442862962	1.7515241056992856	10.484484445866697	-9.973719284702064	1.2618874319070776
60000	-5602.897055075611	-5592.849411509512	-10.047643566099826	-5592.849411509512	1.5878915538797207	9.887480058891398	-10.047643566099826	1.9919060986448403
61000	-5607.047570611316	-5597.443654554071	-9.603916057244302	-5597.443654554071	1.6698423007942538	10.20460941012076	-9.603916057244302	1.4652105851091026
62000	-5607.698009152179	-5597.546640098933	-10.15136905324647	-5597.546640098933	1.5729961995241533	10.128177240960312	-10.15136905324647	1.860395916606874
63000	-5604.776477649182	-5595.009978071072	-9.766499578110999	-5595.009978071072	1.7132776142090678	10.34613406621785	-9.766499578110999	1.3669437227725585
64000	-5608.113053453443	-5597.220822859889	-10.89223059355374	-5597.220822859889	1.7628246460538213	10.411740764729707	-10.89223059355374	0.8910721371575614
