#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.base.inference.CompoundDistribution">
#    <distribution id="prior" spec="beast.base.inference.CompoundDistribution">
#        <distribution id="YuleModel.t:spoink-insertions" spec="beast.base.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:spoink-insertions" lower="0.0" name="birthDiffRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            <tree id="Tree.t:spoink-insertions" spec="beast.base.evolution.tree.Tree">
#                <taxonset id="TaxonSet.spoink-insertions" spec="beast.base.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:spoink-insertions" name="distribution" x="@birthRate.t:spoink-insertions">
#            <Uniform id="Uniform.1" name="distr" upper="Infinity"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.base.inference.CompoundDistribution" useThreads="true">
#        <distribution data="@spoink-insertions" id="treeLikelihood.spoink-insertions" spec="beast.base.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:spoink-insertions">
#            <siteModel id="SiteModel.s:spoink-insertions" spec="beast.base.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:spoink-insertions" lower="0.0" name="mutationRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:spoink-insertions" lower="0.1" name="shape" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:spoink-insertions" lower="0.0" name="proportionInvariant" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="JC69.s:spoink-insertions" spec="beast.base.evolution.substitutionmodel.JukesCantor"/>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:spoink-insertions" spec="beast.base.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:spoink-insertions" lower="0.0" name="clock.rate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	Tree.height	Tree.treeLength	YuleModel	birthRate
56000	-26028.571653043837	-26257.510152261108	228.93849921726948	-26257.510152261108	0.09077162653276585	0.44452279876413525	228.93849921726948	150.20527896802523
57000	-26019.79922575409	-26249.787242628303	229.98801687421368	-26249.787242628303	0.09439038764754323	0.43950022083789764	229.98801687421368	141.8634102044438
58000	-26027.578233423843	-26255.400541092353	227.82230766850972	-26255.400541092353	0.10071285049722098	0.451403375739732	227.82230766850972	111.84228266474095
59000	-26027.921199227043	-26257.40811712577	229.4869178987273	-26257.40811712577	0.09888156201572652	0.4437775924357904	229.4869178987273	129.41183482566888
60000	-26037.24877975228	-26262.94863198241	225.69985223012839	-26262.94863198241	0.10201344038856386	0.46362592791346513	225.69985223012839	155.00254075254063
61000	-26024.11276273109	-26252.22252819373	228.10976546264197	-26252.22252819373	0.0946664385408294	0.44258373437603105	228.10976546264197	104.97819483433419
62000	-26022.963826072373	-26252.38034433649	229.41651826411672	-26252.38034433649	0.09088992432044352	0.43605956218843395	229.41651826411672	163.49614021603062
63000	-26022.161847316067	-26254.99232761614	232.8304803000736	-26254.99232761614	0.08713818786733095	0.41947884016441805	232.8304803000736	140.53968785773802
64000	-26027.241115589775	-26255.783895703764	228.54278011398804	-26255.783895703764	0.0936208513194067	0.44054265805691983	228.54278011398804	106.85564603617674
65000	-26029.21217429187	-26260.79283638022	231.58066208834737	-26260.79283638022	0.09121425552833701	0.42834851618190956	231.58066208834737	134.62359572798493
66000	-26029.64176057659	-26257.20206441019	227.56030383360113	-26257.20206441019	0.09996816109771947	0.4554542992489456	227.56030383360113	145.5296962638162
67000	-26026.638060657344	-26254.98288128001	228.34482062266628	-26254.98288128001	0.09607406782183191	0.43884007722731094	228.34482062266628	103.7300849309856
68000	-26023.31174370699	-26253.097000049933	229.78525634294328	-26253.097000049933	0.09254916632112214	0.43871331877522685	229.78525634294328	119.42444760210148
69000	-26015.84645394798	-26247.454928591054	231.60847464307463	-26247.454928591054	0.09053397128199225	0.42810404294285215	231.60847464307463	134.15649775275566
70000	-26021.96384497608	-26247.99301859027	226.02917361419048	-26247.99301859027	0.10377585047230414	0.47072468333094974	226.02917361419048	124.62233606289941
71000	-26020.642231627804	-26247.430034192865	226.78780256506218	-26247.430034192865	0.09869199873527063	0.44416209186817074	226.78780256506218	176.89471102315804
72000	-26024.138478116634	-26253.47545820287	229.33698008623335	-26253.47545820287	0.09528874707059719	0.44421814264637566	229.33698008623335	141.195461705827
73000	-26026.159276107897	-26252.034419863223	225.87514375532717	-26252.034419863223	0.09819181924432949	0.46760585108528196	225.87514375532717	109.76126267592096
74000	-26023.71697344312	-26250.50588212649	226.78890868337018	-26250.50588212649	0.09581909280372612	0.44272767426180015	226.78890868337018	95.96640046863693
75000	-26020.752538474797	-26248.474148688638	227.72161021383977	-26248.474148688638	0.0980413864644778	0.4420172952274586	227.72161021383977	171.52893590970444
76000	-26025.925910463444	-26252.954129892856	227.0282194294125	-26252.954129892856	0.09660920676840094	0.4600695462554266	227.0282194294125	114.72423378517472
77000	-26015.40073072167	-26246.75929517483	231.35856445315886	-26246.75929517483	0.089425732502556	0.4293889895790792	231.35856445315886	145.31922244455464
78000	-26018.14417061836	-26245.868932017733	227.72476139936958	-26245.868932017733	0.09600441434773883	0.45144518184228755	227.72476139936958	152.99944003203066
79000	-26021.732451784006	-26249.321453633445	227.58900184943815	-26249.321453633445	0.10099226143361317	0.4536092599436972	227.58900184943815	149.9516963192674
80000	-26031.06237234984	-26262.483713936446	231.42134158660588	-26262.483713936446	0.08898529202630015	0.4239590932985467	231.42134158660588	163.07390795126307
81000	-26041.77266908564	-26270.63561096552	228.8629418798812	-26270.63561096552	0.09444120509956037	0.4478349090647505	228.8629418798812	123.92382863736643
82000	-26031.728218759763	-26261.20181819297	229.4735994332076	-26261.20181819297	0.09290575365034304	0.44248883119361043	229.4735994332076	122.4982242797137
83000	-26033.74959736498	-26262.306614849967	228.5570174849894	-26262.306614849967	0.09468926862747387	0.4495702812337713	228.5570174849894	141.93523080093817
84000	-26022.566818847696	-26250.360036882423	227.79321803472737	-26250.360036882423	0.09775044401659147	0.45014656103766176	227.79321803472737	154.94450644781043
85000	-26021.487971317114	-26251.75169590651	230.26372458939568	-26251.75169590651	0.09340899967913346	0.4357424345683624	230.26372458939568	121.73261552086687
86000	-26023.4949660582	-26251.873061509294	228.37809545109553	-26251.873061509294	0.09792157457352088	0.4515584113265685	228.37809545109553	123.03219110635668
87000	-26029.55421691807	-26257.052452738964	227.49823582089513	-26257.052452738964	0.09940060106104984	0.45893669299828876	227.49823582089513	132.5746377716425
88000	-26042.5160292473	-26269.205137617286	226.68910836998435	-26269.205137617286	0.09953494827177767	0.4631449637058003	226.68910836998435	114.99566449316254
89000	-26025.65652584137	-26254.752863218444	229.09633737707594	-26254.752863218444	0.0909168456152192	0.44688036751732385	229.09633737707594	131.3535722685594
90000	-26027.714420517583	-26256.69071954317	228.97629902558606	-26256.69071954317	0.09601553706647875	0.44552284476862714	228.97629902558606	119.51272585593084
91000	-26020.086794263363	-26249.543101948624	229.45630768525965	-26249.543101948624	0.09334773464511764	0.4352491528653356	229.45630768525965	110.05320521658638
92000	-26031.852739850387	-26258.355778434878	226.50303858449288	-26258.355778434878	0.09872118459621794	0.46154227835335937	226.50303858449288	148.38210659979538
93000	-26030.97645028934	-26263.588470226114	232.61201993677355	-26263.588470226114	0.08701341729630263	0.4208000745484818	232.61201993677355	144.94649112903554
94000	-26019.825209732728	-26249.344298590382	229.51908885765596	-26249.344298590382	0.0918960047254618	0.43618246219682427	229.51908885765596	111.78150491753277
95000	-26022.377772031436	-26251.676850310036	229.29907827859958	-26251.676850310036	0.09526122777219881	0.44502917521241	229.29907827859958	137.69826273487297
96000	-26029.68206542234	-26256.976208431017	227.29414300867748	-26256.976208431017	0.09666873440472382	0.45586619424473523	227.29414300867748	111.44242324959117
97000	-26022.693965044087	-26252.72807848207	230.03411343798044	-26252.72807848207	0.09449361667713735	0.43934573587698583	230.03411343798044	128.0270183187468
98000	-26019.767498864894	-26247.932902984365	228.16540411946946	-26247.932902984365	0.10090405831913768	0.4531163924308629	228.16540411946946	122.27932826222619
